MAG_ID	replicates_per_group_UC	replicates_per_group_control	paired_replicates_per_group_UC	paired_replicates_per_group_control	unpaired_test_eligible	paired_test_eligible	single_sample_eligible_UC	single_sample_eligible_control
MGYG000000002	6.0	1.0	0.0	0.0	False	False	True	False
MGYG000000003	3.0	8.0	0.0	0.0	False	False	False	True
MGYG000000013	8.0	8.0	0.0	0.0	True	False	True	True
MGYG000000016	2.0	1.0	0.0	0.0	False	False	False	False
MGYG000000022	5.0	10.0	0.0	0.0	True	False	True	True
MGYG000000028	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000000029	7.0	5.0	0.0	0.0	True	False	True	True
MGYG000000033	2.0	1.0	0.0	0.0	False	False	False	False
MGYG000000038	5.0	4.0	0.0	0.0	True	False	True	True
MGYG000000039	3.0	6.0	0.0	0.0	False	False	False	True
MGYG000000041	1.0	5.0	0.0	0.0	False	False	False	True
MGYG000000044	7.0	7.0	0.0	0.0	True	False	True	True
MGYG000000054	4.0	3.0	0.0	0.0	False	False	True	False
MGYG000000057	7.0	9.0	0.0	0.0	True	False	True	True
MGYG000000059	4.0	4.0	0.0	0.0	True	False	True	True
MGYG000000060	4.0	7.0	0.0	0.0	True	False	True	True
MGYG000000069	5.0	2.0	0.0	0.0	False	False	True	False
MGYG000000070	6.0	4.0	0.0	0.0	True	False	True	True
MGYG000000074	4.0	8.0	0.0	0.0	True	False	True	True
MGYG000000076	5.0	6.0	0.0	0.0	True	False	True	True
MGYG000000078	2.0	2.0	0.0	0.0	False	False	False	False
MGYG000000086	2.0	4.0	0.0	0.0	False	False	False	True
MGYG000000087	5.0	3.0	0.0	0.0	False	False	True	False
MGYG000000090	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000000099	10.0	4.0	0.0	0.0	True	False	True	True
MGYG000000105	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000128	1.0	4.0	0.0	0.0	False	False	False	True
MGYG000000138	4.0	5.0	0.0	0.0	True	False	True	True
MGYG000000140	1.0	2.0	0.0	0.0	False	False	False	False
MGYG000000141	3.0	4.0	0.0	0.0	False	False	False	True
MGYG000000142	1.0	3.0	0.0	0.0	False	False	False	False
MGYG000000144	2.0	5.0	0.0	0.0	False	False	False	True
MGYG000000146	3.0	4.0	0.0	0.0	False	False	False	True
MGYG000000154	1.0	1.0	0.0	0.0	False	False	False	False
MGYG000000177	3.0	2.0	0.0	0.0	False	False	False	False
MGYG000000183	2.0	3.0	0.0	0.0	False	False	False	False
MGYG000000185	1.0	1.0	0.0	0.0	False	False	False	False
