MAG_ID	domain	phylum	class	order	family	genus	species	total_sites_per_group_LMM	significant_sites_per_group_LMM	score_LMM (%)	grouped_by
MGYG000000003	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	39065	926	2.3704082938691924	MAG_ID
MGYG000000013	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vicugnae	33096	288	0.8701957940536621	MAG_ID
MGYG000000022	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium duncaniae	50475	1280	2.535908865775136	MAG_ID
MGYG000000029	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii	29257	224	0.7656287384215743	MAG_ID
MGYG000000038	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A longicatena	77	0	0.0	MAG_ID
MGYG000000039	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium hattorii	25539	843	3.3008340185598497	MAG_ID
MGYG000000041	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor intestinalis	818	5	0.6112469437652812	MAG_ID
MGYG000000044	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	45861	224	0.4884324371470313	MAG_ID
MGYG000000057	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides muris	20749	174	0.8385946310665575	MAG_ID
MGYG000000059	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter aceti	2	0	0.0	MAG_ID
MGYG000000060	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_A	11859	181	1.526266970233578	MAG_ID
MGYG000000070	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp900066825	218	0	0.0	MAG_ID
MGYG000000074	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	68817	1237	1.7975209613903542	MAG_ID
MGYG000000076	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis	4686	62	1.3230900554844216	MAG_ID
MGYG000000086	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp902363045	397	8	2.0151133501259446	MAG_ID
MGYG000000099	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	1060	23	2.1698113207547167	MAG_ID
MGYG000000128	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp902363575	2791	5	0.1791472590469365	MAG_ID
MGYG000000138	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides johnsonii	6621	10	0.1510345869204047	MAG_ID
MGYG000000141	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Hominiventricola	Hominiventricola aquisgranensis	190	1	0.5263157894736842	MAG_ID
MGYG000000144	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella intestinihominis	20487	40	0.1952457656074583	MAG_ID
MGYG000000146	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea formicigenerans	41	0	0.0	MAG_ID
MGYG000000187	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp003537285	1125	14	1.2444444444444445	MAG_ID
MGYG000000195	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_E	27416	1024	3.73504522906332	MAG_ID
MGYG000000196	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	80748	733	0.9077624213602814	MAG_ID
MGYG000000208	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G ventriosum	56	0	0.0	MAG_ID
MGYG000000217	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor acetigignens	3614	35	0.9684560044272276	MAG_ID
MGYG000000242	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp000431375	272	13	4.779411764705882	MAG_ID
MGYG000000251	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	3710	16	0.431266846361186	MAG_ID
MGYG000000254	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	15501	110	0.709631636668602	MAG_ID
MGYG000000262	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	70	0	0.0	MAG_ID
MGYG000000271	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	3523	60	1.7030939540164634	MAG_ID
MGYG000000512	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp902463235	30010	343	1.1429523492169276	MAG_ID
MGYG000000589	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp902463905	6322	122	1.9297690604239164	MAG_ID
MGYG000000837	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp900544105	954	14	1.4675052410901468	MAG_ID
MGYG000000876	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium tardum	46993	1226	2.608899197752857	MAG_ID
MGYG000001294	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	Parasutterella excrementihominis	1883	24	1.2745618693574083	MAG_ID
MGYG000001313	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii	2123	27	1.2717852096090438	MAG_ID
